x,rho,E,F,T,Tr
0.001,0.01,21.1587,7.41546,6.24834,6.26663
0.003,0.01,21.1581,7.4151,6.23874,6.26658
0.005,0.01,21.1576,7.41475,6.23099,6.26654
0.007,0.01,21.157,7.4144,6.22274,6.2665
0.009,0.01,21.1564,7.41406,6.21703,6.26646
0.011,0.01,21.1558,7.41371,6.21696,6.26641
0.013,0.01,21.1553,7.41337,6.26561,6.26637
0.015,0.01,21.1547,7.41302,6.26555,6.26633
0.017,0.01,21.1541,7.41268,6.2655,6.26628
0.019,0.01,21.1535,7.41233,6.26398,6.26624
0.021,0.01,21.1529,7.41198,6.26391,6.2662
0.023,0.01,21.1523,7.41163,6.25948,6.26615
0.025,0.01,21.1518,7.41129,6.25941,6.26611
0.027,0.01,21.1512,7.41094,6.25787,6.26607
0.029,0.01,21.1506,7.41058,6.2578,6.26603
0.031,0.01,21.15,7.41023,6.25626,6.26598
0.033,0.01,21.1495,7.40988,6.25478,6.26594
0.035,0.01,21.1489,7.40953,6.25471,6.2659
0.037,0.01,21.1483,7.40918,6.25183,6.26586
0.039,0.01,21.1477,7.40883,6.25011,6.26581
0.041,0.01,21.1472,7.40848,6.24867,6.26577
0.043,0.01,21.1466,7.40814,6.24701,6.26573
0.045,0.01,21.146,7.40779,6.24514,6.26569
0.047,0.01,21.1454,7.40744,6.24507,6.26564
0.049,0.01,21.1449,7.40709,6.24194,6.2656
0.051,0.01,21.1443,7.40674,6.24076,6.26556
0.053,0.01,21.1437,7.4064,6.23955,6.26551
0.055,0.01,21.1431,7.40605,6.23712,6.26547
0.057,0.01,21.1425,7.4057,6.23582,6.26543
0.059,0.01,21.142,7.40536,6.23194,6.26539
0.061,0.01,21.1414,7.40501,6.23056,6.26534
0.063,0.01,21.1408,7.40466,6.22917,6.2653
0.065,0.01,21.1402,7.40431,6.22776,6.26526
0.067,0.01,21.1397,7.40397,6.22499,6.26521
0.069,0.01,21.1391,7.40362,6.22216,6.26517
0.071,0.01,21.1385,7.40327,6.22069,6.26513
0.073,0.01,21.1379,7.40292,6.21639,6.26509
0.075,0.01,21.1374,7.40257,6.21632,6.26504
0.077,0.01,21.1368,7.40223,6.21625,6.265
0.079,0.01,21.1362,7.40188,6.21619,6.26496
0.081,0.01,21.1356,7.40153,6.25755,6.26492
0.083,0.01,21.1351,7.40118,6.25748,6.26487
0.085,0.01,21.1345,7.40084,6.25741,6.26483
0.087,0.01,21.1339,7.40049,6.25585,6.26479
0.089,0.01,21.1333,7.40014,6.25578,6.26474
0.091,0.01,21.1327,7.39979,6.25571,6.2647
0.093,0.01,21.1322,7.39944,6.25416,6.26466
0.095,0.01,21.1316,7.39909,6.25409,6.26462
0.097,0.01,21.131,7.39874,6.25402,6.26457
0.099,0.01,21.1304,7.3984,6.25395,6.26453
0.101,0.01,21.1298,7.39805,6.25239,6.26449
0.103,0.01,21.1293,7.3977,6.25231,6.26444
0.105,0.01,21.1287,7.39735,6.24942,6.2644
0.107,0.01,21.1281,7.397,6.24935,6.26436
0.109,0.01,21.1275,7.39665,6.24927,6.26432
0.111,0.01,21.127,7.3963,6.24759,6.26427
0.113,0.01,21.1264,7.39595,6.24752,6.26423
0.115,0.01,21.1258,7.39561,6.2461,6.26419
0.117,0.01,21.1252,7.39526,6.24603,6.26414
0.119,0.01,21.1246,7.39491,6.24439,6.2641
0.121,0.01,21.1241,7.39456,6.24432,6.26406
0.123,0.01,21.1235,7.39418,6.24247,6.26402
0.125,0.01,21.123,7.3938,6.2424,6.26398
0.127,0.01,21.1224,7.39342,6.2393,6.26394
0.129,0.01,21.1219,7.39306,6.23923,6.2639
0.131,0.01,21.1213,7.3927,6.23916,6.26385
0.133,0.01,21.1207,7.39235,6.23798,6.26381
0.135,0.01,21.1201,7.39201,6.23678,6.26377
0.137,0.01,21.1196,7.39166,6.23671,6.26373
0.139,0.01,21.119,7.39131,6.23664,6.26368
0.141,0.01,21.1184,7.39096,6.23421,6.26364
0.143,0.01,21.1178,7.39061,6.23292,6.2636
0.145,0.01,21.1173,7.39026,6.22904,6.26355
0.147,0.01,21.1167,7.38991,6.22897,6.26351
0.149,0.01,21.1161,7.38956,6.22759,6.26347
0.151,0.01,21.1155,7.38922,6.22752,6.26343
0.153,0.01,21.115,7.38887,6.22612,6.26338
0.155,0.01,21.1144,7.38852,6.22471,6.26334
0.157,0.01,21.1138,7.38817,6.22464,6.2633
0.159,0.01,21.1132,7.38782,6.22187,6.26326
0.161,0.01,21.1127,7.38748,6.2218,6.26321
0.163,0.01,21.1121,7.38713,6.21896,6.26317
0.165,0.01,21.1115,7.38678,6.21749,6.26313
0.167,0.01,21.1109,7.38643,6.21742,6.26309
0.169,0.01,21.1104,7.38608,6.21454,6.26304
0.171,0.01,21.1098,7.38574,6.21304,6.263
0.173,0.01,21.1092,7.38539,6.21298,6.26296
0.175,0.01,21.1087,7.38504,6.21291,6.26292
0.177,0.01,21.1081,7.3847,6.26154,6.26287
0.179,0.01,21.1075,7.38435,6.26148,6.26283
0.181,0.01,21.1069,7.384,6.26141,6.26279
0.183,0.01,21.1063,7.38365,6.26134,6.26274
0.185,0.01,21.1058,7.3833,6.26127,6.2627
0.187,0.01,21.1052,7.38295,6.2612,6.26266
0.189,0.01,21.1046,7.3826,6.26113,6.26262
0.191,0.01,21.104,7.38225,6.24928,6.26257
0.193,0.01,21.1034,7.3819,6.2492,6.26253
0.195,0.01,21.1029,7.38155,6.24918,6.26249
0.197,0.01,21.1023,7.3812,6.24639,6.26244
0.199,0.01,21.1017,7.38085,6.24632,6.2624
0.201,0.01,21.1011,7.3805,6.24624,6.26236
0.203,0.01,21.1006,7.38016,6.24617,6.26232
0.205,0.01,21.1,7.37981,6.24471,6.26227
0.207,0.01,21.0994,7.37947,6.24463,6.26223
0.209,0.01,21.0988,7.37912,6.24456,6.26219
0.211,0.01,21.0982,7.37878,6.24263,6.26214
0.213,0.01,21.0977,7.37843,6.24256,6.2621
0.215,0.01,21.0971,7.37808,6.24248,6.26206
0.217,0.01,21.0965,7.37773,6.24089,6.26201
0.219,0.01,21.0959,7.37739,6.24082,6.26197
0.221,0.01,21.0953,7.37704,6.24075,6.26193
0.223,0.01,21.0948,7.37669,6.23799,6.26189
0.225,0.01,21.0942,7.37634,6.23792,6.26184
0.227,0.01,21.0936,7.37599,6.23582,6.2618
0.229,0.01,21.093,7.37564,6.23575,6.26176
0.231,0.01,21.0925,7.37529,6.23568,6.26171
0.233,0.01,21.0919,7.37495,6.23453,6.26167
0.235,0.01,21.0913,7.37461,6.23446,6.26163
0.237,0.01,21.0907,7.37427,6.23439,6.26159
0.239,0.01,21.0901,7.37392,6.23432,6.26154
0.241,0.01,21.0896,7.37358,6.23198,6.2615
0.243,0.01,21.089,7.37323,6.23072,6.26146
0.245,0.01,21.0884,7.37289,6.23065,6.26142
0.247,0.01,21.0878,7.37254,6.23058,6.26137
0.249,0.01,21.0873,7.37219,6.22804,6.26133
0.251,0.01,21.0867,7.37185,6.22797,6.26129
0.253,0.01,21.0861,7.3715,6.22536,6.26124
0.255,0.01,21.0856,7.37116,6.22529,6.2612
0.257,0.01,21.085,7.37081,6.22522,6.26116
0.259,0.01,21.0844,7.37047,6.22384,6.26112
0.261,0.01,21.0838,7.37012,6.22244,6.26107
0.263,0.01,21.0833,7.36977,6.22237,6.26103
0.265,0.01,21.0827,7.36943,6.2223,6.26099
0.267,0.01,21.0821,7.36908,6.22089,6.26095
0.269,0.01,21.0815,7.36874,6.22082,6.2609
0.271,0.01,21.0809,7.3684,6.21805,6.26086
0.273,0.01,21.0804,7.36805,6.2166,6.26082
0.275,0.01,21.0798,7.36771,6.21514,6.26077
0.277,0.01,21.0792,7.36736,6.21507,6.26073
0.279,0.01,21.0786,7.36701,6.2136,6.26069
0.281,0.01,21.0781,7.36667,6.21353,6.26065
0.283,0.01,21.0775,7.36632,6.21065,6.2606
0.285,0.01,21.0769,7.36597,6.21058,6.26056
0.287,0.01,21.0763,7.36562,6.21051,6.26052
0.289,0.01,21.0758,7.36528,6.21044,6.26048
0.291,0.01,21.0752,7.36493,6.25766,6.26043
0.293,0.01,21.0746,7.36459,6.25759,6.26039
0.295,0.01,21.074,7.36424,6.25753,6.26035
0.297,0.01,21.0734,7.3639,6.25746,6.2603
0.299,0.01,21.0728,7.36356,6.25739,6.26026
0.301,0.01,21.0723,7.36321,6.25732,6.26022
0.303,0.01,21.0717,7.36287,6.25725,6.26017
0.305,0.01,21.0711,7.36253,6.25718,6.26013
0.307,0.01,21.0705,7.36218,6.25712,6.26008
0.309,0.01,21.0699,7.36184,6.25705,6.26004
0.311,0.01,21.0693,7.36149,6.25698,6.26
0.313,0.01,21.0688,7.36114,6.25691,6.25996
0.315,0.01,21.0682,7.36079,6.25684,6.25991
0.317,0.01,21.0676,7.36045,6.25677,6.25987
0.319,0.01,21.067,7.36011,6.2567,6.25983
0.321,0.01,21.0664,7.35976,6.25372,6.25978
0.323,0.01,21.0658,7.35942,6.23919,6.25974
0.325,0.01,21.0653,7.35908,6.23912,6.2597
0.327,0.01,21.0647,7.35874,6.23905,6.25965
0.329,0.01,21.0641,7.3584,6.23897,6.25961
0.331,0.01,21.0635,7.35806,6.2368,6.25957
0.333,0.01,21.0629,7.35772,6.23673,6.25952
0.335,0.01,21.0623,7.35737,6.23666,6.25948
0.337,0.01,21.0618,7.35702,6.23398,6.25944
0.339,0.01,21.0612,7.35668,6.2339,6.25939
0.341,0.01,21.0606,7.35633,6.23383,6.25935
0.343,0.01,21.06,7.35599,6.23178,6.25931
0.345,0.01,21.0595,7.35565,6.23171,6.25926
0.347,0.01,21.0589,7.3553,6.23164,6.25922
0.349,0.01,21.0583,7.35495,6.2305,6.25918
0.351,0.01,21.0577,7.35461,6.23043,6.25913
0.353,0.01,21.0571,7.35427,6.23036,6.25909
0.355,0.01,21.0565,7.35393,6.22805,6.25905
0.357,0.01,21.056,7.35359,6.22798,6.259
0.359,0.01,21.0554,7.35325,6.22673,6.25896
0.361,0.01,21.0548,7.3529,6.22666,6.25892
0.363,0.01,21.0542,7.35255,6.22659,6.25888
0.365,0.01,21.0537,7.3522,6.22652,6.25883
0.367,0.01,21.0531,7.35186,6.22275,6.25879
0.369,0.01,21.0525,7.35151,6.22268,6.25875
0.371,0.01,21.0519,7.35117,6.22261,6.2587
0.373,0.01,21.0513,7.35084,6.22254,6.25866
0.375,0.01,21.0507,7.3505,6.22119,6.25862
0.377,0.01,21.0502,7.35016,6.21981,6.25857
0.379,0.01,21.0496,7.34982,6.21974,6.25853
0.381,0.01,21.049,7.34948,6.21967,6.25849
0.383,0.01,21.0484,7.34914,6.2196,6.25844
0.385,0.01,21.0478,7.3488,6.21821,6.2584
0.387,0.01,21.0473,7.34846,6.21814,6.25836
0.389,0.01,21.0467,7.34811,6.21539,6.25831
0.391,0.01,21.0461,7.34777,6.21532,6.25827
0.393,0.01,21.0455,7.34742,6.21525,6.25823
0.395,0.01,21.0449,7.34708,6.21243,6.25819
0.397,0.01,21.0444,7.34674,6.21236,6.25814
0.399,0.01,21.0438,7.3464,6.2109,6.2581
0.401,0.01,21.0432,7.34606,6.21083,6.25806
0.403,0.01,21.0426,7.34572,6.21076,6.25801
0.405,0.01,21.042,7.34538,6.20929,6.25797
0.407,0.01,21.0415,7.34505,6.20922,6.25793
0.409,0.01,21.0409,7.34471,6.20915,6.25788
0.411,0.01,21.0403,7.34437,6.25643,6.25784
0.413,0.01,21.0397,7.34403,6.25636,6.25779
0.415,0.01,21.0391,7.34369,6.25629,6.25775
0.417,0.01,21.0385,7.34335,6.25622,6.25771
0.419,0.01,21.0379,7.343,6.25616,6.25766
0.421,0.01,21.0373,7.34267,6.2532,6.25762
0.423,0.01,21.0368,7.34233,6.25313,6.25758
0.425,0.01,21.0362,7.34199,6.25306,6.25753
0.427,0.01,21.0356,7.34166,6.25299,6.25749
0.429,0.01,21.035,7.34132,6.25292,6.25745
0.431,0.01,21.0344,7.34097,6.25285,6.2574
0.433,0.01,21.0338,7.34063,6.25279,6.25736
0.435,0.01,21.0332,7.34029,6.25272,6.25731
0.437,0.01,21.0326,7.33995,6.25265,6.25727
0.439,0.01,21.0321,7.3396,6.25258,6.25723
0.441,0.01,21.0315,7.33926,6.25251,6.25718
0.443,0.01,21.0309,7.33891,6.24807,6.25714
0.445,0.01,21.0303,7.33857,6.248,6.2571
0.447,0.01,21.0297,7.33823,6.24795,6.25705
0.449,0.01,21.0291,7.33788,6.24788,6.25701
0.451,0.01,21.0286,7.33754,6.2478,6.25697
0.453,0.01,21.028,7.33721,6.24772,6.25692
0.455,0.01,21.0274,7.33687,6.24765,6.25688
0.457,0.01,21.0268,7.33653,6.2476,6.25684
0.459,0.01,21.0262,7.33619,6.24753,6.25679
0.461,0.01,21.0256,7.33584,6.24745,6.25675
0.463,0.01,21.0251,7.33549,6.2474,6.25671
0.465,0.01,21.0245,7.33515,6.24733,6.25666
0.467,0.01,21.0239,7.3348,6.24725,6.25662
0.469,0.01,21.0233,7.33446,6.22929,6.25658
0.471,0.01,21.0228,7.33413,6.22729,6.25653
0.473,0.01,21.0222,7.33379,6.22722,6.25649
0.475,0.01,21.0216,7.33346,6.22715,6.25645
0.477,0.01,21.021,7.33312,6.22603,6.2564
0.479,0.01,21.0204,7.33279,6.22596,6.25636
0.481,0.01,21.0198,7.33246,6.22589,6.25632
0.483,0.01,21.0193,7.33212,6.22361,6.25627
0.485,0.01,21.0187,7.33179,6.22354,6.25623
0.487,0.01,21.0181,7.33146,6.22347,6.25619
0.489,0.01,21.0175,7.33112,6.22224,6.25614
0.491,0.01,21.0169,7.33079,6.22217,6.2561
0.493,0.01,21.0163,7.33045,6.2221,6.25606
0.495,0.01,21.0158,7.33012,6.21835,6.25601
0.497,0.01,21.0152,7.32978,6.21829,6.25597
0.499,0.01,21.0146,7.32944,6.21822,6.25593
0.501,0.01,21.014,7.3291,6.21815,6.25589
0.503,0.01,21.0135,7.32876,6.21808,6.25584
0.505,0.01,21.0129,7.32843,6.21673,6.2558
0.507,0.01,21.0123,7.3281,6.21666,6.25576
0.509,0.01,21.0117,7.32777,6.21528,6.25571
0.511,0.01,21.0111,7.32743,6.21522,6.25567
0.513,0.01,21.0105,7.3271,6.21515,6.25563
0.515,0.01,21.01,7.32676,6.21375,6.25558
0.517,0.01,21.0094,7.32641,6.21368,6.25554
0.519,0.01,21.0088,7.32607,6.21362,6.2555
0.521,0.01,21.0082,7.32574,6.21355,6.25545
0.523,0.01,21.0076,7.3254,6.2108,6.25541
0.525,0.01,21.007,7.32507,6.21073,6.25537
0.527,0.01,21.0065,7.32472,6.21066,6.25532
0.529,0.01,21.0059,7.32438,6.20784,6.25528
0.531,0.01,21.0053,7.32404,6.20777,6.25524
0.533,0.01,21.0047,7.32371,6.20631,6.25519
0.535,0.01,21.0041,7.32337,6.20624,6.25515
0.537,0.01,21.0036,7.32304,6.20617,6.25511
0.539,0.01,21.003,7.3227,6.2061,6.25506
0.541,0.01,21.0024,7.32237,6.25339,6.25502
0.543,0.01,21.0018,7.32203,6.25332,6.25498
0.545,0.01,21.0012,7.32169,6.25325,6.25493
0.547,0.01,21.0006,7.32135,6.25318,6.25489
0.549,0.01,21,7.32101,6.25311,6.25484
0.551,0.01,20.9994,7.32067,6.25304,6.2548
0.553,0.01,20.9989,7.32033,6.25298,6.25476
0.555,0.01,20.9983,7.31999,6.25291,6.25471
0.557,0.01,20.9977,7.31964,6.25284,6.25467
0.559,0.01,20.9971,7.3193,6.247,6.25463
0.561,0.01,20.9965,7.31896,6.24692,6.25458
0.563,0.01,20.9959,7.31862,6.24685,6.25454
0.565,0.01,20.9954,7.31828,6.2468,6.2545
0.567,0.01,20.9948,7.31794,6.24673,6.25445
0.569,0.01,20.9942,7.3176,6.24665,6.25441
0.571,0.01,20.9936,7.31726,6.24658,6.25436
0.573,0.01,20.993,7.31692,6.24653,6.25432
0.575,0.01,20.9924,7.31659,6.24645,6.25428
0.577,0.01,20.9918,7.31626,6.24346,6.25423
0.579,0.01,20.9912,7.31592,6.24339,6.25419
0.581,0.01,20.9906,7.31558,6.24334,6.25414
0.583,0.01,20.9901,7.31525,6.24326,6.2541
0.585,0.01,20.9895,7.31491,6.24318,6.25406
0.587,0.01,20.9889,7.31456,6.2431,6.25401
0.589,0.01,20.9883,7.31422,6.24306,6.25397
0.591,0.01,20.9877,7.31388,6.24298,6.25393
0.593,0.01,20.9871,7.31354,6.2429,6.25388
0.595,0.01,20.9866,7.3132,6.24285,6.25384
0.597,0.01,20.986,7.31285,6.24277,6.2538
0.599,0.01,20.9854,7.3125,6.2427,6.25375
0.601,0.01,20.9848,7.31216,6.24115,6.25371
0.603,0.01,20.9842,7.31181,6.24108,6.25367
0.605,0.01,20.9837,7.31147,6.241,6.25362
0.607,0.01,20.9831,7.31112,6.24095,6.25358
0.609,0.0100002,20.9825,7.31078,6.24087,6.25354
0.611,0.0100008,20.9819,7.31044,6.24079,6.25349
0.613,0.0100032,20.9813,7.3101,6.24071,6.25345
0.615,0.0100122,20.9808,7.30976,6.2406,6.25341
0.617,0.0100409,20.9802,7.30942,6.2404,6.25336
0.619,0.0101244,20.9796,7.30908,6.23694,6.25332
0.621,0.0103454,20.979,7.30874,6.21145,6.25328
0.623,0.0108817,20.9784,7.30839,6.24657,6.25323
0.625,0.0120809,20.9776,7.30806,6.22621,6.25318
0.627,0.0145642,20.9768,7.30771,6.22688,6.25311
0.629,0.0193435,20.9755,7.30737,6.23345,6.25302
0.631,0.027918,20.9737,7.30704,6.24267,6.25288
0.633,0.0422971,20.9708,7.3067,6.25119,6.25267
0.635,0.0648842,20.9663,7.30635,6.2509,6.25233
0.637,0.09818,20.9592,7.30601,6.2502,6.2518
0.639,0.144308,20.9484,7.30567,6.24779,6.251
0.641,0.204442,20.9328,7.30533,6.24871,6.24983
0.643,0.278277,20.9111,7.30499,6.24662,6.24821
0.645,0.363729,20.8822,7.30465,6.24526,6.24605
0.647,0.456991,20.8451,7.3043,6.24311,6.24327
0.649,0.553009,20.7994,7.30395,6.23968,6.23985
0.651,0.646271,20.7451,7.30361,6.23508,6.23577
0.653,0.731723,20.6827,7.30326,6.23043,6.23108
0.655,0.805558,20.6131,7.3029,6.22566,6.22583
0.657,0.865692,20.5375,7.30254,6.21994,6.22011
0.659,0.91182,20.4571,7.30218,6.21358,6.21402
0.661,0.945116,20.3733,7.30182,6.20719,6.20764
0.663,0.967703,20.2869,7.30145,6.20054,6.20106
0.665,0.982082,20.199,7.30108,6.19418,6.19433
0.667,0.990657,20.1102,7.30071,6.18701,6.18751
0.669,0.995436,20.0209,7.30033,6.18021,6.18062
0.671,0.997919,19.9313,7.29995,6.17355,6.1737
0.673,0.999118,19.8417,7.29956,6.16635,6.16675
0.675,0.999655,19.7521,7.29917,6.15965,6.15978
0.677,0.999876,19.6626,7.29878,6.15235,6.15279
0.679,0.999959,19.5732,7.29838,6.14559,6.14578
0.681,0.999988,19.4839,7.29799,6.13828,6.13876
0.683,0.999997,19.3947,7.29758,6.13127,6.13172
0.685,0.999999,19.3056,7.29717,6.12417,6.12466
0.687,1,19.2166,7.29675,6.11755,6.11759
0.689,1,19.1277,7.29634,6.11037,6.1105
0.691,1,19.0389,7.29592,6.10303,6.1034
0.693,1,18.9502,7.2955,6.09594,6.09628
0.695,1,18.8617,7.29507,6.08877,6.08915
0.697,1,18.7732,7.29464,6.08192,6.082
0.699,1,18.6849,7.29421,6.07458,6.07483
0.701,1,18.5967,7.29378,6.06715,6.06765
0.703,1,18.5085,7.29335,6.05994,6.06045
0.705,1,18.4205,7.29291,6.0529,6.05323
0.707,1,18.3326,7.29246,6.04573,6.04599
0.709,1,18.2448,7.292,6.03848,6.03874
0.711,1,18.1572,7.29154,6.0311,6.03147
0.713,0.999999,18.0696,7.29109,6.02373,6.02419
0.715,0.999997,17.9822,7.29064,6.01677,6.01689
0.717,0.999988,17.8948,7.29018,6.00945,6.00957
0.719,0.999959,17.8076,7.28971,6.00191,6.00223
0.721,0.999876,17.7205,7.28924,5.9946,5.99488
0.723,0.999655,17.6335,7.28877,5.98722,5.98751
0.725,0.999118,17.5467,7.28829,5.98008,5.98012
0.727,0.997919,17.46,7.28781,5.97264,5.97273
0.729,0.995436,17.3736,7.28733,5.9652,5.96533
0.731,0.990657,17.2877,7.28685,5.95747,5.95794
0.733,0.982082,17.2025,7.28637,5.95019,5.95058
0.735,0.967703,17.1183,7.28588,5.94324,5.94329
0.737,0.945116,17.0359,7.28539,5.93568,5.93612
0.739,0.91182,16.956,7.2849,5.92871,5.92915
0.741,0.865692,16.8796,7.28439,5.92223,5.92246
0.743,0.805558,16.8078,7.28389,5.91601,5.91615
0.745,0.731723,16.742,7.28338,5.90967,5.91035
0.747,0.646271,16.683,7.28287,5.90473,5.90514
0.749,0.553009,16.6318,7.28236,5.89987,5.9006
0.751,0.456991,16.5887,7.28185,5.89577,5.89678
0.753,0.363729,16.5538,7.28135,5.89347,5.89368
0.755,0.278277,16.5266,7.28083,5.89036,5.89125
0.757,0.204442,16.5063,7.28031,5.88812,5.88944
0.759,0.144308,16.4917,7.27979,5.88803,5.88813
0.761,0.09818,16.4816,7.27928,5.88385,5.88723
0.763,0.0648842,16.475,7.27877,5.87918,5.88664
0.765,0.0422971,16.4707,7.27825,5.87646,5.88626
0.767,0.027918,16.468,7.27773,5.8846,5.88602
0.769,0.0193435,16.4663,7.2772,5.87463,5.88587
0.771,0.0145642,16.4652,7.27668,5.85682,5.88577
0.773,0.0120809,16.4644,7.27616,5.87105,5.8857
0.775,0.0108817,16.4637,7.27564,5.87775,5.88564
0.777,0.0103454,16.4631,7.27513,5.8577,5.88559
0.779,0.0101244,16.4626,7.27462,5.85847,5.88554
0.781,0.0100409,16.4621,7.2741,5.85856,5.88549
0.783,0.0100122,16.4616,7.27358,5.85841,5.88544
0.785,0.0100032,16.461,7.27306,5.85816,5.8854
0.787,0.0100008,16.4605,7.27254,5.85782,5.88535
0.789,0.0100002,16.46,7.27203,5.85752,5.8853
0.791,0.01,16.4595,7.27151,5.85723,5.88526
0.793,0.01,16.4589,7.27099,5.88131,5.88521
0.795,0.01,16.4584,7.27046,5.88075,5.88516
0.797,0.01,16.4579,7.26993,5.87995,5.88511
0.799,0.01,16.4573,7.26941,5.8799,5.88507
0.801,0.01,16.4568,7.26888,5.87986,5.88502
0.803,0.01,16.4563,7.26836,5.87848,5.88497
0.805,0.01,16.4558,7.26785,5.87843,5.88492
0.807,0.01,16.4552,7.26734,5.87833,5.88488
0.809,0.01,16.4547,7.26683,5.87828,5.88483
0.811,0.01,16.4542,7.26632,5.87818,5.88479
0.813,0.01,16.4537,7.26581,5.87813,5.88474
0.815,0.01,16.4532,7.26529,5.87508,5.88469
0.817,0.01,16.4526,7.26477,5.87498,5.88465
0.819,0.01,16.4521,7.26425,5.87483,5.8846
0.821,0.01,16.4516,7.26373,5.87473,5.88455
0.823,0.01,16.451,7.26321,5.87462,5.8845
0.825,0.01,16.4505,7.26268,5.87447,5.88446
0.827,0.01,16.45,7.26216,5.87437,5.88441
0.829,0.01,16.4495,7.26163,5.87427,5.88436
0.831,0.01,16.4489,7.26111,5.87412,5.88431
0.833,0.01,16.4484,7.26059,5.87402,5.88427
0.835,0.01,16.4479,7.26008,5.87386,5.88422
0.837,0.01,16.4474,7.25956,5.87376,5.88417
0.839,0.01,16.4468,7.25905,5.87361,5.88413
0.841,0.01,16.4463,7.25854,5.87351,5.88408
0.843,0.01,16.4458,7.25803,5.87336,5.88404
0.845,0.01,16.4453,7.25751,5.87326,5.88399
0.847,0.01,16.4448,7.25698,5.8652,5.88394
0.849,0.01,16.4442,7.25646,5.86494,5.88389
0.851,0.01,16.4437,7.25594,5.86474,5.88385
0.853,0.01,16.4432,7.25541,5.86454,5.8838
0.855,0.01,16.4426,7.25489,5.86428,5.88375
0.857,0.01,16.4421,7.25437,5.86408,5.88371
0.859,0.01,16.4416,7.25385,5.86382,5.88366
0.861,0.01,16.4411,7.25333,5.86362,5.88361
0.863,0.01,16.4406,7.25282,5.86337,5.88357
0.865,0.01,16.44,7.2523,5.86316,5.88352
0.867,0.01,16.4395,7.25178,5.86291,5.88347
0.869,0.01,16.439,7.25126,5.8627,5.88343
0.871,0.01,16.4385,7.25074,5.86245,5.88338
0.873,0.01,16.4379,7.25022,5.86219,5.88333
0.875,0.01,16.4374,7.2497,5.86199,5.88329
0.877,0.01,16.4369,7.24918,5.86173,5.88324
0.879,0.01,16.4364,7.24866,5.86148,5.88319
0.881,0.01,16.4359,7.24814,5.86122,5.88314
0.883,0.01,16.4353,7.24762,5.86097,5.8831
0.885,0.01,16.4348,7.24709,5.86076,5.88305
0.887,0.01,16.4343,7.24658,5.86051,5.883
0.889,0.01,16.4338,7.24606,5.86026,5.88296
0.891,0.01,16.4333,7.24555,5.86,5.88291
0.893,0.01,16.4327,7.24503,5.8597,5.88287
0.895,0.01,16.4322,7.24451,5.85945,5.88282
0.897,0.01,16.4317,7.24398,5.8592,5.88277
0.899,0.01,16.4312,7.24346,5.85895,5.88272
0.901,0.01,16.4306,7.24294,5.8587,5.88268
0.903,0.01,16.4301,7.24242,5.85841,5.88263
0.905,0.01,16.4296,7.2419,5.85816,5.88258
0.907,0.01,16.4291,7.24138,5.85787,5.88254
0.909,0.01,16.4286,7.24087,5.85762,5.88249
0.911,0.01,16.428,7.24035,5.85733,5.88245
0.913,0.01,16.4275,7.23983,5.85704,5.8824
0.915,0.01,16.427,7.23931,5.85675,5.88235
0.917,0.01,16.4265,7.2388,5.85651,5.88231
0.919,0.01,16.426,7.23828,5.85623,5.88226
0.921,0.01,16.4254,7.23776,5.85594,5.88221
0.923,0.01,16.4249,7.23724,5.85566,5.88217
0.925,0.01,16.4244,7.23671,5.85537,5.88212
0.927,0.01,16.4239,7.23619,5.85509,5.88207
0.929,0.01,16.4233,7.23566,5.85476,5.88203
0.931,0.01,16.4228,7.23514,5.85447,5.88198
0.933,0.01,16.4223,7.23462,5.85419,5.88193
0.935,0.01,16.4218,7.2341,5.8539,5.88188
0.937,0.01,16.4213,7.23358,5.85357,5.88184
0.939,0.01,16.4207,7.23305,5.85329,5.88179
0.941,0.01,16.4202,7.23254,5.853,5.88175
0.943,0.01,16.4197,7.23202,5.85267,5.8817
0.945,0.01,16.4192,7.23151,5.85238,5.88165
0.947,0.01,16.4187,7.23099,5.85205,5.88161
0.949,0.01,16.4182,7.23047,5.85176,5.88156
0.951,0.01,16.4176,7.22994,5.85143,5.88151
0.953,0.01,16.4171,7.22941,5.85114,5.88147
0.955,0.01,16.4166,7.22889,5.8508,5.88142
