x,E_0,F_0,E+F,E-F
0.003,1.37199e-07,0,0.01372,-0.000288165
0.009,1.37199e-07,0,0.01372,-0.000288163
0.015,1.37199e-07,0,0.01372,-0.000288161
0.021,1.37199e-07,0,0.01372,-0.000288159
0.027,1.37199e-07,0,0.01372,-0.000288157
0.033,1.37199e-07,0,0.01372,-0.000288156
0.039,1.37199e-07,0,0.01372,-0.000288155
0.045,1.37199e-07,0,0.01372,-0.000288154
0.051,1.37199e-07,0,0.01372,-0.000288153
0.057,1.37199e-07,0,0.01372,-0.000288152
0.063,1.37199e-07,0,0.01372,-0.000288152
0.069,1.37199e-07,0,0.01372,-0.000288151
0.075,1.37199e-07,0,0.01372,-0.00028815
0.081,1.37199e-07,0,0.01372,-0.00028815
0.087,1.37199e-07,0,0.01372,-0.000288149
0.093,1.37199e-07,0,0.01372,-0.000288149
0.099,1.37199e-07,0,0.01372,-0.000288148
0.105,1.37199e-07,0,0.01372,-0.000288148
0.111,1.37199e-07,0,0.01372,-0.000288148
0.117,1.37199e-07,0,0.01372,-0.000288148
0.123,1.37199e-07,0,0.01372,-0.000288148
0.129,1.37199e-07,0,0.01372,-0.000288147
0.135,1.37199e-07,0,0.01372,-0.000288147
0.141,1.37199e-07,0,0.01372,-0.000288147
0.147,1.37199e-07,0,0.01372,-0.000288147
0.153,1.37199e-07,0,0.01372,-0.000288147
0.159,1.37199e-07,0,0.01372,-0.000288148
0.165,1.37199e-07,0,0.01372,-0.000288148
0.171,1.37199e-07,0,0.01372,-0.000288148
0.177,1.37199e-07,0,0.01372,-0.000288148
0.183,1.37199e-07,0,0.01372,-0.000288148
0.189,1.37199e-07,0,0.01372,-0.000288148
0.195,1.37199e-07,0,0.01372,-0.000288148
0.201,1.37199e-07,0,0.01372,-0.000288147
0.207,1.37199e-07,0,0.01372,-0.000288147
0.213,1.37199e-07,0,0.01372,-0.000288147
0.219,1.37199e-07,0,0.01372,-0.000288147
0.225,1.37199e-07,0,0.01372,-0.000288146
0.231,1.37199e-07,0,0.01372,-0.000288146
0.237,1.37199e-07,0,0.01372,-0.000288146
0.243,1.37199e-07,0,0.01372,-0.000288145
0.249,1.37199e-07,0,0.01372,-0.000288144
0.255,1.37199e-07,0,0.01372,-0.000288144
0.261,1.37199e-07,0,0.01372,-0.000288143
0.267,1.37199e-07,0,0.01372,-0.000288142
0.273,1.37199e-07,0,0.01372,-0.000288141
0.279,1.37199e-07,0,0.01372,-0.00028814
0.285,1.37199e-07,0,0.01372,-0.000288139
0.291,1.37199e-07,0,0.01372,-0.000288138
0.297,1.37199e-07,0,0.01372,-0.000288137
0.303,1.37199e-07,0,0.01372,-0.000288136
0.309,1.37199e-07,0,0.01372,-0.000288135
0.315,1.37199e-07,0,0.01372,-0.000288134
0.321,1.37199e-07,0,0.01372,-0.000288133
0.327,1.37199e-07,0,0.01372,-0.000288131
0.333,1.37199e-07,0,0.01372,-0.00028813
0.339,1.37199e-07,0,0.01372,-0.000288129
0.345,1.37199e-07,0,0.01372,-0.000288128
0.351,1.37199e-07,0,0.01372,-0.000288128
0.357,1.37199e-07,0,0.01372,-0.000288127
0.363,1.37199e-07,0,0.01372,-0.000288126
0.369,1.37199e-07,0,0.01372,-0.000288125
0.375,1.37199e-07,0,0.01372,-0.000288125
0.381,1.37199e-07,0,0.01372,-0.000288124
0.387,1.37199e-07,0,0.01372,-0.000288124
0.393,1.37199e-07,0,0.01372,-0.000288123
0.399,1.37199e-07,0,0.01372,-0.000288123
0.405,1.37199e-07,0,0.01372,-0.000288123
0.411,1.37199e-07,0,0.01372,-0.000288123
