x,E_0, E,E_exact
0.003,1.37199e-07,0.00671498,0
0.009,1.37199e-07,0.00671499,0
0.015,1.37199e-07,0.006715,0
0.021,1.37199e-07,0.006715,0
0.027,1.37199e-07,0.00671501,0
0.033,1.37199e-07,0.00671502,0
0.039,1.37199e-07,0.00671503,0
0.045,1.37199e-07,0.00671504,0
0.051,1.37199e-07,0.00671505,0
0.057,1.37199e-07,0.00671506,0
0.063,1.37199e-07,0.00671507,0
0.069,1.37199e-07,0.00671508,0
0.075,1.37199e-07,0.00671509,0
0.081,1.37199e-07,0.0067151,0
0.087,1.37199e-07,0.00671511,0
0.093,1.37199e-07,0.00671513,0
0.099,1.37199e-07,0.00671514,0
0.105,1.37199e-07,0.00671515,0
0.111,1.37199e-07,0.00671516,0
0.117,1.37199e-07,0.00671517,0
0.123,1.37199e-07,0.00671517,0
0.129,1.37199e-07,0.00671518,0
0.135,1.37199e-07,0.00671518,0
0.141,1.37199e-07,0.00671518,0
0.147,1.37199e-07,0.00671518,0
0.153,1.37199e-07,0.00671518,0
0.159,1.37199e-07,0.00671518,0
0.165,1.37199e-07,0.00671518,0
0.171,1.37199e-07,0.00671518,0
0.177,1.37199e-07,0.00671517,0
0.183,1.37199e-07,0.00671517,0
0.189,1.37199e-07,0.00671517,0
0.195,1.37199e-07,0.00671516,0
0.201,1.37199e-07,0.00671516,0
0.207,1.37199e-07,0.00671516,0
0.213,1.37199e-07,0.00671516,0
0.219,1.37199e-07,0.00671517,0
0.225,1.37199e-07,0.00671517,0
0.231,1.37199e-07,0.00671517,0
0.237,1.37199e-07,0.00671518,0
0.243,1.37199e-07,0.00671518,0
0.249,1.37199e-07,0.00671519,0
0.255,1.37199e-07,0.00671519,0
0.261,1.37199e-07,0.00671519,0
0.267,1.37199e-07,0.0067152,0
0.273,1.37199e-07,0.0067152,0
0.279,1.37199e-07,0.00671521,0
0.285,1.37199e-07,0.00671521,0
0.291,1.37199e-07,0.00671522,0
0.297,1.37199e-07,0.00671522,0
0.303,1.37199e-07,0.00671523,0
0.309,1.37199e-07,0.00671524,0
0.315,1.37199e-07,0.00671525,0
0.321,1.37199e-07,0.00671526,0
0.327,1.37199e-07,0.00671527,0
0.333,1.37199e-07,0.00671527,0
0.339,1.37199e-07,0.00671529,0
0.345,1.37199e-07,0.0067153,0
0.351,1.37199e-07,0.00671531,0
0.357,1.37199e-07,0.00671532,0
0.363,1.37199e-07,0.00671533,0
0.369,1.37199e-07,0.00671534,0
0.375,1.37199e-07,0.00671534,0
0.381,1.37199e-07,0.00671535,0
0.387,1.37199e-07,0.00671535,0
0.393,1.37199e-07,0.00671536,0
0.399,1.37199e-07,0.00671536,0
0.405,1.37199e-07,0.00671535,0
0.411,1.37199e-07,0.00671535,0
0.417,1.37199e-07,0.00671535,0
0.423,1.37199e-07,0.00671535,0
0.429,1.37199e-07,0.00671534,0
0.435,1.37199e-07,0.00671534,0
0.441,1.37199e-07,0.00671534,0
0.447,1.37199e-07,0.00671533,0
