x,E_0, E,E_exact
0.003,1.37199e-07,0.00671592,0
0.009,1.37199e-07,0.00671592,0
0.015,1.37199e-07,0.00671592,0
0.021,1.37199e-07,0.00671592,0
0.027,1.37199e-07,0.00671592,0
0.033,1.37199e-07,0.00671592,0
0.039,1.37199e-07,0.00671592,0
0.045,1.37199e-07,0.00671592,0
0.051,1.37199e-07,0.00671592,0
0.057,1.37199e-07,0.00671592,0
0.063,1.37199e-07,0.00671592,0
0.069,1.37199e-07,0.00671592,0
0.075,1.37199e-07,0.00671592,0
0.081,1.37199e-07,0.00671592,0
0.087,1.37199e-07,0.00671592,0
0.093,1.37199e-07,0.00671592,0
0.099,1.37199e-07,0.00671592,0
0.105,1.37199e-07,0.00671592,0
0.111,1.37199e-07,0.00671593,0
0.117,1.37199e-07,0.00671593,0
0.123,1.37199e-07,0.00671593,0
0.129,1.37199e-07,0.00671593,0
0.135,1.37199e-07,0.00671593,0
0.141,1.37199e-07,0.00671593,0
0.147,1.37199e-07,0.00671593,0
0.153,1.37199e-07,0.00671593,0
0.159,1.37199e-07,0.00671593,0
0.165,1.37199e-07,0.00671593,0
0.171,1.37199e-07,0.00671593,0
0.177,1.37199e-07,0.00671593,0
0.183,1.37199e-07,0.00671593,0
0.189,1.37199e-07,0.00671593,0
0.195,1.37199e-07,0.00671593,0
0.201,1.37199e-07,0.00671593,0
0.207,1.37199e-07,0.00671593,0
0.213,1.37199e-07,0.00671593,0
0.219,1.37199e-07,0.00671593,0
0.225,1.37199e-07,0.00671593,0
0.231,1.37199e-07,0.00671593,0
0.237,1.37199e-07,0.00671593,0
0.243,1.37199e-07,0.00671593,0
0.249,1.37199e-07,0.00671593,0
0.255,1.37199e-07,0.00671593,0
0.261,1.37199e-07,0.00671593,0
0.267,1.37199e-07,0.00671593,0
0.273,1.37199e-07,0.00671593,0
0.279,1.37199e-07,0.00671593,0
0.285,1.37199e-07,0.00671593,0
0.291,1.37199e-07,0.00671593,0
0.297,1.37199e-07,0.00671593,0
0.303,1.37199e-07,0.00671593,0
0.309,1.37199e-07,0.00671593,0
0.315,1.37199e-07,0.00671593,0
