x,T_radiation,T_matter
0.005,6.50807,6.55273
0.015,6.50794,6.55262
0.025,6.50782,6.5525
0.035,6.50769,6.55238
0.045,6.5295,6.55226
0.055,6.52936,6.55214
0.065,6.52921,6.55203
0.075,6.52906,6.55191
0.085,6.5289,6.55179
0.095,6.52874,6.55167
0.105,6.52856,6.55155
0.115,6.50636,6.55144
0.125,6.50615,6.55132
0.135,6.50592,6.5512
0.145,6.50569,6.55108
0.155,6.50546,6.55097
0.165,6.50523,6.55085
0.175,6.505,6.55073
0.185,6.50477,6.55061
0.195,6.50453,6.5505
0.205,6.5043,6.55038
0.215,6.50407,6.55026
0.225,6.50384,6.55014
0.235,6.52557,6.55003
0.245,6.52532,6.54991
0.255,6.52507,6.54979
0.265,6.52482,6.54967
0.275,6.52457,6.54956
0.285,6.52432,6.54944
0.295,6.53168,6.54932
0.305,6.53142,6.5492
0.315,6.53117,6.54909
0.325,6.53091,6.54897
0.335,6.53065,6.54885
0.345,6.5304,6.54873
0.355,6.53014,6.54861
0.365,6.52988,6.5485
0.375,6.52963,6.54838
0.385,6.52937,6.54826
0.395,6.52912,6.54814
0.405,6.52886,6.54802
0.415,6.53749,6.54774
0.425,6.54395,6.54641
0.435,6.5407,6.54165
0.445,6.5288,6.52912
0.455,6.50338,6.50351
0.465,6.4607,6.46082
0.475,6.40029,6.40036
0.485,6.32487,6.32496
0.495,6.23912,6.23923
0.505,6.14705,6.14718
0.515,6.05096,6.05111
0.525,5.95183,5.95192
0.535,5.85051,5.85061
0.545,5.75003,5.75015
0.555,5.65628,5.65641
0.565,5.5771,5.57724
0.575,5.5189,5.51905
0.585,5.48274,5.48321
0.595,5.4643,5.46541
0.605,5.45653,5.4586
0.615,5.44827,5.45672
0.625,5.45372,5.45631
0.635,5.45356,5.45615
0.645,5.45356,5.45599
0.655,5.4534,5.45582
0.665,5.45324,5.45566
0.675,5.45307,5.4555
0.685,5.45307,5.45533
0.695,5.45291,5.45517
0.705,5.45275,5.45501
0.715,5.45259,5.45485
0.725,5.45258,5.45468
0.735,5.45242,5.45452
0.745,5.44369,5.45436
0.755,5.44353,5.4542
0.765,5.44337,5.45404
0.775,5.44321,5.45388
0.785,5.44304,5.45371
0.795,5.44304,5.45355
0.805,5.44288,5.45339
0.815,5.44272,5.45323
0.825,5.44255,5.45307
0.835,5.44239,5.45291
0.845,5.44239,5.45275
0.855,5.44223,5.45259
0.865,5.44206,5.45243
0.875,5.4419,5.45227
0.885,5.44174,5.45211
0.895,5.44174,5.45195
0.905,5.44158,5.45179
0.915,5.44141,5.45163
0.925,5.44141,5.45147
0.935,5.44125,5.45131
0.945,5.44125,5.45115
0.955,5.44109,5.45099
0.965,5.44108,5.45083
0.975,5.44108,5.45067
0.985,5.44108,5.4505
0.995,5.44092,5.45034
